06460 Alzheimer disease (60)

  hsa:2915 GRM5; glutamate metabotropic receptor 5
  hsa:5530 PPP3CA; protein phosphatase 3 catalytic subunit alpha
  hsa:5532 PPP3CB; protein phosphatase 3 catalytic subunit beta
  hsa:4775 NFATC3; nuclear factor of activated T cells 3
 
06138 PKR-eIF2alpha signaling (viruses) (4)

  hsa:5610 EIF2AK2; eukaryotic translation initiation factor 2 alpha kinase 2
  hsa:8890 EIF2B4; eukaryotic translation initiation factor 2B subunit delta
  hsa:8893 EIF2B5; eukaryotic translation initiation factor 2B subunit epsilon
  hsa:5500 PPP1CB; protein phosphatase 1 catalytic subunit beta
 
06141 Translation (viruses) (4)

  hsa:6231 RPS26; ribosomal protein S26
  hsa:6124 RPL4; ribosomal protein L4
  hsa:6134 RPL10; ribosomal protein L10
  hsa:6154 RPL26; ribosomal protein L26
 
06416 TNF signaling (4)

  hsa:6885 MAP3K7; mitogen-activated protein kinase kinase kinase 7
  hsa:23118 TAB2; TGF-beta activated kinase 1 (MAP3K7) binding protein 2
  hsa:3064 HTT; huntingtin
  hsa:4294 MAP3K10; mitogen-activated protein kinase kinase kinase 10
 
06021 beta-Oxidation in peroxisome (3)

  hsa:51 ACOX1; acyl-CoA oxidase 1
  hsa:3295 HSD17B4; hydroxysteroid 17-beta dehydrogenase 4
  hsa:6342 SCP2; sterol carrier protein 2
 
06022 Bile acid biosynthesis (3)

  hsa:1593 CYP27A1; cytochrome P450 family 27 subfamily A member 1
  hsa:3295 HSD17B4; hydroxysteroid 17-beta dehydrogenase 4
  hsa:6342 SCP2; sterol carrier protein 2
 
06025 Molybdenum cofactor biosynthesis (3)

  hsa:4337 MOCS1; molybdenum cofactor synthesis 1
  hsa:4338 MOCS2; molybdenum cofactor synthesis 2
  hsa:10243 GPHN; gephyrin
 
06026 Glutathione biosynthesis (3)

  hsa:2937 GSS; glutathione synthetase
  hsa:2876 GPX1; glutathione peroxidase 1
  hsa:3418 IDH2; isocitrate dehydrogenase (NADP(+)) 2
 
06211 Other MAPK signaling (3)

  hsa:23118 TAB2; TGF-beta activated kinase 1 (MAP3K7) binding protein 2
  hsa:6885 MAP3K7; mitogen-activated protein kinase kinase kinase 7
  hsa:4217 MAP3K5; mitogen-activated protein kinase kinase kinase 5
 
06229 MHC presentation (3)

  hsa:3105 HLA-A; major histocompatibility complex, class I, A
  hsa:3106 HLA-B; major histocompatibility complex, class I, B
  hsa:3135 HLA-G; major histocompatibility complex, class I, G
 
06326 AVP signaling (3)

  hsa:2778 GNAS; GNAS complex locus
  hsa:109 ADCY3; adenylate cyclase 3
  hsa:5567 PRKACB; protein kinase cAMP-activated catalytic subunit beta
 
06411 Potassium transport (3)

  hsa:3746 KCNC1; potassium voltage-gated channel subfamily C member 1
  hsa:3751 KCND2; potassium voltage-gated channel subfamily D member 2
  hsa:3752 KCND3; potassium voltage-gated channel subfamily D member 3
 
06412 Unfolded protein response (UPR) signaling (3)

  hsa:9451 EIF2AK3; eukaryotic translation initiation factor 2 alpha kinase 3
  hsa:6647 SOD1; superoxide dismutase 1
  hsa:4217 MAP3K5; mitogen-activated protein kinase kinase kinase 5
 
06019 Steroid hormone biosynthesis (2)

  hsa:1584 CYP11B1; cytochrome P450 family 11 subfamily B member 1
  hsa:3290 HSD11B1; hydroxysteroid 11-beta dehydrogenase 1
 
06023 Galactose degradation (2)

  hsa:2592 GALT; galactose-1-phosphate uridylyltransferase
  hsa:2582 GALE; UDP-galactose-4-epimerase
 
06131 Apoptosis (viruses and bacteria) (2)

  hsa:3098 HK1; hexokinase 1
  hsa:7337 UBE3A; ubiquitin protein ligase E3A
 
06133 RLR signaling (viruses) (2)

  hsa:64135 IFIH1; interferon induced with helicase C domain 1
  hsa:8517 IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
 
06216 NOTCH signaling (2)

  hsa:28514 DLL1; delta like canonical Notch ligand 1
  hsa:23462 HEY1; hes related family bHLH transcription factor with YRPW motif 1
 
06219 JAK-STAT signaling (2)

  hsa:1139 CHRNA7; cholinergic receptor nicotinic alpha 7 subunit
  hsa:1137 CHRNA4; cholinergic receptor nicotinic alpha 4 subunit
 
06221 TLR signaling (2)

  hsa:1387 CREBBP; CREB binding protein
  hsa:2033 EP300; E1A binding protein p300
 
06225 HIF-1 signaling (2)

  hsa:6513 SLC2A1; solute carrier family 2 member 1
  hsa:8453 CUL2; cullin 2
 
06250 DNA adduct formation (2)

  hsa:3290 HSD11B1; hydroxysteroid 11-beta dehydrogenase 1
  hsa:2944 GSTM1; glutathione S-transferase mu 1
 
06421 Mitophagy (2)

  hsa:5071 PRKN; parkin RBR E3 ubiquitin protein ligase
  hsa:3098 HK1; hexokinase 1
 
06423 Cytoskeletal regulation (2)

  hsa:60 ACTB; actin beta
  hsa:71 ACTG1; actin gamma 1
