hsa03036 Chromosome and associated proteins (304)

  hsa:10274 STAG1; stromal antigen 1
  hsa:2068 ERCC2; ERCC excision repair 2, TFIIH core complex helicase subunit
  hsa:196528 ARID2; AT-rich interaction domain 2
  hsa:23097 CDK19; cyclin dependent kinase 19
  hsa:23168 RTF1; RTF1 homolog, Paf1/RNA polymerase II complex component
  hsa:23389 MED13L; mediator complex subunit 13L
  hsa:23450 SF3B3; splicing factor 3b subunit 3
  hsa:23476 BRD4; bromodomain containing 4
  hsa:2334 AFF2; AF4/FMR2 family member 2
  hsa:25885 POLR1A; RNA polymerase I subunit A
  hsa:27125 AFF4; AF4/FMR2 family member 4
  hsa:2961 GTF2E2; general transcription factor IIE subunit 2
  hsa:2969 GTF2I; general transcription factor IIi
  hsa:2972 BRF1; BRF1 RNA polymerase III transcription initiation factor subunit
  hsa:404672 GTF2H5; general transcription factor IIH subunit 5
  hsa:389856 USP27X; ubiquitin specific peptidase 27 X-linked
  hsa:51412 ACTL6B; actin like 6B
  hsa:51574 LARP7; La ribonucleoprotein 7, transcriptional regulator
  hsa:5430 POLR2A; RNA polymerase II subunit A
  hsa:5500 PPP1CB; protein phosphatase 1 catalytic subunit beta
  hsa:55703 POLR3B; RNA polymerase III subunit B
  hsa:57492 ARID1B; AT-rich interaction domain 1B
  hsa:57466 SCAF4; SR-related CTD associated factor 4
  hsa:60 ACTB; actin beta
  hsa:6595 SMARCA2; SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
  hsa:6597 SMARCA4; SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
  hsa:6598 SMARCB1; SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
  hsa:6599 SMARCC1; SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1
  hsa:6601 SMARCC2; SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2
  hsa:6602 SMARCD1; SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1
  hsa:6605 SMARCE1; SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1
  hsa:6872 TAF1; TATA-box binding protein associated factor 1
  hsa:6873 TAF2; TATA-box binding protein associated factor 2
  hsa:6877 TAF5; TATA-box binding protein associated factor 5
  hsa:6878 TAF6; TATA-box binding protein associated factor 6
  hsa:6884 TAF13; TATA-box binding protein associated factor 13
  hsa:71 ACTG1; actin gamma 1
  hsa:7343 UBTF; upstream binding transcription factor
  hsa:81857 MED25; mediator complex subunit 25
  hsa:8295 TRRAP; transformation/transcription domain associated protein
  hsa:8289 ARID1A; AT-rich interaction domain 1A
  hsa:86 ACTL6A; actin like 6A
  hsa:8850 KAT2B; lysine acetyltransferase 2B
  hsa:9044 BTAF1; B-TFIID TATA-box binding protein associated factor 1
  hsa:9150 CTDP1; CTD phosphatase subunit 1
  hsa:8812 CCNK; cyclin K
  hsa:9013 TAF1C; TATA-box binding protein associated factor, RNA polymerase I subunit C
  hsa:9440 MED17; mediator complex subunit 17
  hsa:9439 MED23; mediator complex subunit 23
  hsa:9533 POLR1C; RNA polymerase I and III subunit C
  hsa:9968 MED12; mediator complex subunit 12
  hsa:9969 MED13; mediator complex subunit 13

hsa01002 Peptidases and inhibitors (58)

  hsa:10072 DPP3; dipeptidyl peptidase 3
  hsa:10617 STAMBP; STAM binding protein
  hsa:11132 CAPN10; calpain 10
  hsa:147968 CAPN12; calpain 12
  hsa:1373 CPS1; carbamoyl-phosphate synthase 1
  hsa:118856 MMP21; matrix metallopeptidase 21
  hsa:1363 CPE; carboxypeptidase E
  hsa:1200 TPP1; tripeptidyl peptidase 1
  hsa:1476 CSTB; cystatin B
  hsa:1509 CTSD; cathepsin D
  hsa:161725 OTUD7A; OTU deubiquitinase 7A
  hsa:1636 ACE; angiotensin I converting enzyme
  hsa:1803 DPP4; dipeptidyl peptidase 4
  hsa:205564 SENP5; SUMO specific peptidase 5
  hsa:23287 AGTPBP1; ATP/GTP binding carboxypeptidase 1
  hsa:23203 PMPCA; peptidase, mitochondrial processing subunit alpha
  hsa:23266 ADGRL2; adhesion G protein-coupled receptor L2
  hsa:254827 NAALADL2; N-acetylated alpha-linked acidic dipeptidase like 2
  hsa:26054 SENP6; SUMO specific peptidase 6
  hsa:27429 HTRA2; HtrA serine peptidase 2
  hsa:3249 HPN; hepsin
  hsa:340267 COL28A1; collagen type XXVIII alpha 1 chain
  hsa:389856 USP27X; ubiquitin specific peptidase 27 X-linked
  hsa:440 ASNS; asparagine synthetase (glutamine-hydrolyzing)
  hsa:427 ASAH1; N-acylsphingosine amidohydrolase 1
  hsa:4323 MMP14; matrix metallopeptidase 14
  hsa:3827 KNG1; kininogen 1
  hsa:5054 SERPINE1; serpin family E member 1
  hsa:51360 MBTPS2; membrane bound transcription factor peptidase, site 2
  hsa:51099 ABHD5; abhydrolase domain containing 5, lysophosphatidic acid acyltransferase
  hsa:5184 PEPD; peptidase D
  hsa:54878 DPP8; dipeptidyl peptidase 8
  hsa:55617 TASP1; taspase 1
  hsa:57094 CPA6; carboxypeptidase A6
  hsa:5648 MASP1; MBL associated serine protease 1
  hsa:57448 BIRC6; baculoviral IAP repeat containing 6
  hsa:6650 CAPN15; calpain 15
  hsa:6469 SHH; sonic hedgehog signaling molecule
  hsa:6873 TAF2; TATA-box binding protein associated factor 2
  hsa:721 C4B; complement C4B (Chido blood group)
  hsa:7874 USP7; ubiquitin specific peptidase 7
  hsa:790 CAD; carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
  hsa:8239 USP9X; ubiquitin specific peptidase 9 X-linked
  hsa:8287 USP9Y; ubiquitin specific peptidase 9 Y-linked
  hsa:8192 CLPP; caseinolytic mitochondrial matrix peptidase proteolytic subunit
  hsa:83943 IMMP2L; inner mitochondrial membrane peptidase subunit 2
  hsa:85015 USP45; ubiquitin specific peptidase 45
  hsa:84132 USP42; ubiquitin specific peptidase 42
  hsa:8532 CPZ; carboxypeptidase Z
  hsa:84871 AGBL4; AGBL carboxypeptidase 4
  hsa:8492 PRSS12; serine protease 12
  hsa:8833 GMPS; guanine monophosphate synthase
  hsa:9289 ADGRG1; adhesion G protein-coupled receptor G1
  hsa:9512 PMPCB; peptidase, mitochondrial processing subunit beta
  hsa:95 ACY1; aminoacylase 1
  hsa:9581 PREPL; prolyl endopeptidase like
  hsa:9361 LONP1; lon peptidase 1, mitochondrial
  hsa:9958 USP15; ubiquitin specific peptidase 15

hsa03016 Transfer RNA biogenesis (56)

  hsa:10352 WARS2; tryptophanyl tRNA synthetase 2, mitochondrial
  hsa:10667 FARS2; phenylalanyl-tRNA synthetase 2, mitochondrial
  hsa:113179 ADAT3; adenosine deaminase tRNA specific 3
  hsa:10785 WDR4; WD repeat domain 4
  hsa:112858 TP53RK; TP53 regulating kinase
  hsa:116461 TSEN15; tRNA splicing endonuclease subunit 15
  hsa:124454 EARS2; glutamyl-tRNA synthetase 2, mitochondrial
  hsa:1615 DARS1; aspartyl-tRNA synthetase 1
  hsa:16 AARS1; alanyl-tRNA synthetase 1
  hsa:1917 EEF1A2; eukaryotic translation elongation factor 1 alpha 2
  hsa:2058 EPRS1; glutamyl-prolyl-tRNA synthetase 1
  hsa:23534 TNPO3; transportin 3
  hsa:23395 LARS2; leucyl-tRNA synthetase 2, mitochondrial
  hsa:24140 FTSJ1; FtsJ RNA 2'-O-methyltransferase 1
  hsa:25821 MTO1; mitochondrial tRNA translation optimization 1
  hsa:25973 PARS2; prolyl-tRNA synthetase 2, mitochondrial
  hsa:26610 ELP4; elongator acetyltransferase complex subunit 4
  hsa:283989 TSEN54; tRNA splicing endonuclease subunit 54
  hsa:3376 IARS1; isoleucyl-tRNA synthetase 1
  hsa:3735 KARS1; lysyl-tRNA synthetase 1
  hsa:3035 HARS1; histidyl-tRNA synthetase 1
  hsa:348180 CTU2; cytosolic thiouridylase subunit 2
  hsa:4677 NARS1; asparaginyl-tRNA synthetase 1
  hsa:51095 TRNT1; tRNA nucleotidyl transferase 1
  hsa:51002 TPRKB; TP53RK binding protein
  hsa:54888 NSUN2; NOP2/Sun RNA methyltransferase 2
  hsa:54517 PUS7; pseudouridine synthase 7
  hsa:54802 TRIT1; tRNA isopentenyltransferase 1
  hsa:55157 DARS2; aspartyl-tRNA synthetase 2, mitochondrial
  hsa:55621 TRMT1; tRNA methyltransferase 1
  hsa:55644 OSGEP; O-sialoglycoprotein endopeptidase
  hsa:55250 ELP2; elongator acetyltransferase complex subunit 2
  hsa:54974 THG1L; tRNA-histidine guanylyltransferase 1 like
  hsa:57410 SCYL1; SCY1 like pseudokinase 1
  hsa:57038 RARS2; arginyl-tRNA synthetase 2, mitochondrial
  hsa:57176 VARS2; valyl-tRNA synthetase 2, mitochondrial
  hsa:60528 ELAC2; elaC ribonuclease Z 2
  hsa:5859 QARS1; glutaminyl-tRNA synthetase 1
  hsa:5917 RARS1; arginyl-tRNA synthetase 1
  hsa:5805 PTS; 6-pyruvoyltetrahydropterin synthase
  hsa:7514 XPO1; exportin 1
  hsa:7965 AIMP2; aminoacyl tRNA synthetase complex interacting multifunctional protein 2
  hsa:79731 NARS2; asparaginyl-tRNA synthetase 2, mitochondrial
  hsa:79587 CARS2; cysteinyl-tRNA synthetase 2, mitochondrial
  hsa:7407 VARS1; valyl-tRNA synthetase 1
  hsa:80746 TSEN2; tRNA splicing endonuclease subunit 2
  hsa:833 CARS1; cysteinyl-tRNA synthetase 1
  hsa:80324 PUS1; pseudouridine synthase 1
  hsa:83480 PUS3; pseudouridine synthase 3
  hsa:8270 LAGE3; L antigen family member 3
  hsa:8635 RNASET2; ribonuclease T2
  hsa:84705 GTPBP3; GTP binding protein 3, mitochondrial
  hsa:9255 AIMP1; aminoacyl tRNA synthetase complex interacting multifunctional protein 1
  hsa:91801 ALKBH8; alkB homolog 8, tRNA methyltransferase
  hsa:87178 PNPT1; polyribonucleotide nucleotidyltransferase 1
  hsa:93587 TRMT10A; tRNA methyltransferase 10A

hsa01003 Glycosyltransferases (51)

  hsa:10195 ALG3; ALG3 alpha-1,3- mannosyltransferase
  hsa:10585 POMT1; protein O-mannosyltransferase 1
  hsa:10329 RXYLT1; ribitol xylosyltransferase 1
  hsa:114805 GALNT13; polypeptide N-acetylgalactosaminyltransferase 13
  hsa:11285 B4GALT7; beta-1,4-galactosyltransferase 7
  hsa:126792 B3GALT6; beta-1,3-galactosyltransferase 6
  hsa:145173 B3GLCT; beta 3-glucosyltransferase
  hsa:148789 B3GALNT2; beta-1,3-N-acetylgalactosaminyltransferase 2
  hsa:1798 DPAGT1; dolichyl-phosphate N-acetylglucosaminephosphotransferase 1
  hsa:160418 TMTC3; transmembrane O-mannosyltransferase targeting cadherins 3
  hsa:201595 STT3B; STT3 oligosaccharyltransferase complex catalytic subunit B
  hsa:2131 EXT1; exostosin glycosyltransferase 1
  hsa:2132 EXT2; exostosin glycosyltransferase 2
  hsa:2137 EXTL3; exostosin like glycosyltransferase 3
  hsa:2218 FKTN; fukutin
  hsa:222537 HS3ST5; heparan sulfate-glucosamine 3-sulfotransferase 5
  hsa:2530 FUT8; fucosyltransferase 8
  hsa:2583 B4GALNT1; beta-1,4-N-acetyl-galactosaminyltransferase 1
  hsa:2590 GALNT2; polypeptide N-acetylgalactosaminyltransferase 2
  hsa:26290 GALNT8; polypeptide N-acetylgalactosaminyltransferase 8
  hsa:2683 B4GALT1; beta-1,4-galactosyltransferase 1
  hsa:29929 ALG6; ALG6 alpha-1,3-glucosyltransferase
  hsa:29954 POMT2; protein O-mannosyltransferase 2
  hsa:3703 STT3A; STT3 oligosaccharyltransferase complex catalytic subunit A
  hsa:3340 NDST1; N-deacetylase and N-sulfotransferase 1
  hsa:440138 ALG11; ALG11 alpha-1,2-mannosyltransferase
  hsa:4247 MGAT2; alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
  hsa:5277 PIGA; phosphatidylinositol glycan anchor biosynthesis class A
  hsa:55568 GALNT10; polypeptide N-acetylgalactosaminyltransferase 10
  hsa:55650 PIGV; phosphatidylinositol glycan anchor biosynthesis class V
  hsa:55790 CSGALNACT1; chondroitin sulfate N-acetylgalactosaminyltransferase 1
  hsa:55624 POMGNT1; protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)
  hsa:56052 ALG1; ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase
  hsa:64131 XYLT1; xylosyltransferase 1
  hsa:6487 ST3GAL3; ST3 beta-galactoside alpha-2,3-sialyltransferase 3
  hsa:79868 ALG13; ALG13 UDP-N-acetylglucosaminyltransferase subunit
  hsa:79087 ALG12; ALG12 alpha-1,6-mannosyltransferase
  hsa:79796 ALG9; ALG9 alpha-1,2-mannosyltransferase
  hsa:79053 ALG8; ALG8 alpha-1,3-glucosyltransferase
  hsa:79623 GALNT14; polypeptide N-acetylgalactosaminyltransferase 14
  hsa:79147 FKRP; fukutin related protein
  hsa:8128 ST8SIA2; ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2
  hsa:85365 ALG2; ALG2 alpha-1,3/1,6-mannosyltransferase
  hsa:8473 OGT; O-linked N-acetylglucosamine (GlcNAc) transferase
  hsa:84892 POMGNT2; protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)
  hsa:8813 DPM1; dolichyl-phosphate mannosyltransferase subunit 1, catalytic
  hsa:9215 LARGE1; LARGE xylosyl- and glucuronyltransferase 1
  hsa:8869 ST3GAL5; ST3 beta-galactoside alpha-2,3-sialyltransferase 5
  hsa:9488 PIGB; phosphatidylinositol glycan anchor biosynthesis class B
  hsa:9526 MPDU1; mannose-P-dolichol utilization defect 1
  hsa:9653 HS2ST1; heparan sulfate 2-O-sulfotransferase 1

hsa04515 Cell adhesion molecules (47)

  hsa:1000 CDH2; cadherin 2
  hsa:1006 CDH8; cadherin 8
  hsa:1007 CDH9; cadherin 9
  hsa:1008 CDH10; cadherin 10
  hsa:1009 CDH11; cadherin 11
  hsa:1012 CDH13; cadherin 13
  hsa:152330 CNTN4; contactin 4
  hsa:1826 DSCAM; DS cell adhesion molecule
  hsa:221935 SDK1; sidekick cell adhesion molecule 1
  hsa:2195 FAT1; FAT atypical cadherin 1
  hsa:23705 CADM1; cell adhesion molecule 1
  hsa:253559 CADM2; cell adhesion molecule 2
  hsa:257194 NEGR1; neuronal growth regulator 1
  hsa:27255 CNTN6; contactin 6
  hsa:27328 PCDH11X; protocadherin 11 X-linked
  hsa:3685 ITGAV; integrin subunit alpha V
  hsa:3690 ITGB3; integrin subunit beta 3
  hsa:4099 MAG; myelin associated glycoprotein
  hsa:3897 L1CAM; L1 cell adhesion molecule
  hsa:5067 CNTN3; contactin 3
  hsa:5101 PCDH9; protocadherin 9
  hsa:51294 PCDH12; protocadherin 12
  hsa:53942 CNTN5; contactin 5
  hsa:56147 PCDHA1; protocadherin alpha 1
  hsa:56135 PCDHAC1; protocadherin alpha subfamily C, 1
  hsa:56142 PCDHA6; protocadherin alpha 6
  hsa:56134 PCDHAC2; protocadherin alpha subfamily C, 2
  hsa:56136 PCDHA13; protocadherin alpha 13
  hsa:56137 PCDHA12; protocadherin alpha 12
  hsa:56138 PCDHA11; protocadherin alpha 11
  hsa:56139 PCDHA10; protocadherin alpha 10
  hsa:56140 PCDHA8; protocadherin alpha 8
  hsa:56141 PCDHA7; protocadherin alpha 7
  hsa:56145 PCDHA3; protocadherin alpha 3
  hsa:56143 PCDHA5; protocadherin alpha 5
  hsa:56144 PCDHA4; protocadherin alpha 4
  hsa:56146 
  hsa:57526 PCDH19; protocadherin 19
  hsa:5818 NECTIN1; nectin cell adhesion molecule 1
  hsa:6092 ROBO2; roundabout guidance receptor 2
  hsa:57575 PCDH10; protocadherin 10
  hsa:64405 CDH22; cadherin 22
  hsa:65217 PCDH15; protocadherin related 15
  hsa:79633 FAT4; FAT atypical cadherin 4
  hsa:8642 DCHS1; dachsous cadherin-related 1
  hsa:9752 PCDHA9; protocadherin alpha 9
  hsa:9746 CLSTN3; calsyntenin 3

hsa03032 DNA replication proteins (43)

  hsa:10535 RNASEH2A; ribonuclease H2 subunit A
  hsa:1788 DNMT3A; DNA methyltransferase 3 alpha
  hsa:1789 DNMT3B; DNA methyltransferase 3 beta
  hsa:1736 DKC1; dyskerin pseudouridine synthase 1
  hsa:2072 ERCC4; ERCC excision repair 4, endonuclease catalytic subunit
  hsa:23293 SMG6; SMG6 nonsense mediated mRNA decay factor
  hsa:23594 ORC6; origin recognition complex subunit 6
  hsa:23649 POLA2; DNA polymerase alpha 2, accessory subunit
  hsa:25913 POT1; protection of telomeres 1
  hsa:26277 TINF2; TERF1 interacting nuclear factor 2
  hsa:4173 MCM4; minichromosome maintenance complex component 4
  hsa:4175 MCM6; minichromosome maintenance complex component 6
  hsa:4361 MRE11; MRE11 homolog, double strand break repair nuclease
  hsa:4998 ORC1; origin recognition complex subunit 1
  hsa:5000 
  hsa:4683 NBN; nibrin
  hsa:472 ATM; ATM serine/threonine kinase
  hsa:51659 GINS2; GINS complex subunit 2
  hsa:51053 GMNN; geminin DNA replication inhibitor
  hsa:51750 RTEL1; regulator of telomere elongation helicase 1
  hsa:5422 POLA1; DNA polymerase alpha 1, catalytic subunit
  hsa:5428 POLG; DNA polymerase gamma, catalytic subunit
  hsa:55183 RIF1; replication timing regulatory factor 1
  hsa:5591 PRKDC; protein kinase, DNA-activated, catalytic subunit
  hsa:5813 PURA; purine rich element binding protein A
  hsa:63901 FAM111A; FAM111 trypsin like peptidase A
  hsa:6628 SNRPB; small nuclear ribonucleoprotein polypeptides B and B1
  hsa:641 BLM; BLM RecQ like helicase
  hsa:7014 TERF2; telomeric repeat binding factor 2
  hsa:7015 TERT; telomerase reverse transcriptase
  hsa:7150 TOP1; DNA topoisomerase I
  hsa:7153 TOP2A; DNA topoisomerase II alpha
  hsa:7156 TOP3A; DNA topoisomerase III alpha
  hsa:79621 RNASEH2B; ribonuclease H2 subunit B
  hsa:81620 CDT1; chromatin licensing and DNA replication factor 1
  hsa:8317 CDC7; cell division cycle 7
  hsa:8318 CDC45; cell division cycle 45
  hsa:80169 CTC1; CST telomere replication complex component 1
  hsa:84153 RNASEH2C; ribonuclease H2 subunit C
  hsa:891 CCNB1; cyclin B1
  hsa:8940 TOP3B; DNA topoisomerase III beta
  hsa:990 CDC6; cell division cycle 6
  hsa:9894 TELO2; telomere maintenance 2

hsa04031 GTP-binding proteins (35)

  hsa:10681 GNB5; G protein subunit beta 5
  hsa:116442 RAB39B; RAB39B, member RAS oncogene family
  hsa:200894 ARL13B; ADP ribosylation factor like GTPase 13B
  hsa:22800 RRAS2; RAS related 2
  hsa:22808 MRAS; muscle RAS oncogene homolog
  hsa:23221 RHOBTB2; Rho related BTB domain containing 2
  hsa:22931 RAB18; RAB18, member RAS oncogene family
  hsa:2770 GNAI1; G protein subunit alpha i1
  hsa:2775 GNAO1; G protein subunit alpha o1
  hsa:2778 GNAS; GNAS complex locus
  hsa:2776 GNAQ; G protein subunit alpha q
  hsa:2782 GNB1; G protein subunit beta 1
  hsa:28511 NKIRAS2; NFKB inhibitor interacting Ras like 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:339122 RAB43; RAB43, member RAS oncogene family
  hsa:375 ARF1; ADP ribosylation factor 1
  hsa:373 TRIM23; tripartite motif containing 23
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:403 ARL3; ADP ribosylation factor like GTPase 3
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:51715 
  hsa:51764 GNG13; G protein subunit gamma 13
  hsa:54676 GTPBP2; GTP binding protein 2
  hsa:6016 RIT1; Ras like without CAAX 1
  hsa:6014 RIT2; Ras like without CAAX 2
  hsa:5898 RALA; RAS like proto-oncogene A
  hsa:6009 RHEB; Ras homolog, mTORC1 binding
  hsa:5879 RAC1; Rac family small GTPase 1
  hsa:5881 RAC3; Rac family small GTPase 3
  hsa:5862 RAB2A; RAB2A, member RAS oncogene family
  hsa:5873 RAB27A; RAB27A, member RAS oncogene family
  hsa:84100 ARL6; ADP ribosylation factor like GTPase 6
  hsa:8766 RAB11A; RAB11A, member RAS oncogene family
  hsa:9230 RAB11B; RAB11B, member RAS oncogene family
  hsa:998 CDC42; cell division cycle 42

hsa04090 CD molecules (35)

  hsa:10288 LILRB2; leukocyte immunoglobulin like receptor B2
  hsa:1000 CDH2; cadherin 2
  hsa:1436 CSF1R; colony stimulating factor 1 receptor
  hsa:1803 DPP4; dipeptidyl peptidase 4
  hsa:1636 ACE; angiotensin I converting enzyme
  hsa:2260 
  hsa:2263 FGFR2; fibroblast growth factor receptor 2
  hsa:2261 FGFR3; fibroblast growth factor receptor 3
  hsa:23446 SLC44A1; solute carrier family 44 member 1
  hsa:283316 CD163L1; CD163 molecule like 1
  hsa:3685 ITGAV; integrin subunit alpha V
  hsa:3690 ITGB3; integrin subunit beta 3
  hsa:3480 IGF1R; insulin like growth factor 1 receptor
  hsa:4035 LRP1; LDL receptor related protein 1
  hsa:3920 LAMP2; lysosomal associated membrane protein 2
  hsa:3897 L1CAM; L1 cell adhesion molecule
  hsa:4481 MSR1; macrophage scavenger receptor 1
  hsa:5159 PDGFRB; platelet derived growth factor receptor beta
  hsa:5167 ENPP1; ectonucleotide pyrophosphatase/phosphodiesterase 1
  hsa:5133 PDCD1; programmed cell death 1
  hsa:5329 PLAUR; plasminogen activator, urokinase receptor
  hsa:54910 SEMA4C; semaphorin 4C
  hsa:5788 PTPRC; protein tyrosine phosphatase receptor type C
  hsa:5818 NECTIN1; nectin cell adhesion molecule 1
  hsa:58494 JAM2; junctional adhesion molecule 2
  hsa:658 BMPR1B; bone morphogenetic protein receptor type 1B
  hsa:6383 SDC2; syndecan 2
  hsa:683 BST1; bone marrow stromal cell antigen 1
  hsa:7010 TEK; TEK receptor tyrosine kinase
  hsa:7102 TSPAN7; tetraspanin 7
  hsa:7850 IL1R2; interleukin 1 receptor type 2
  hsa:83692 CD99L2; CD99 molecule like 2
  hsa:80381 CD276; CD276 molecule
  hsa:952 CD38; CD38 molecule
  hsa:953 ENTPD1; ectonucleoside triphosphate diphosphohydrolase 1

hsa04030 G protein-coupled receptors (31)

  hsa:1128 CHRM1; cholinergic receptor muscarinic 1
  hsa:1131 CHRM3; cholinergic receptor muscarinic 3
  hsa:135 ADORA2A; adenosine A2a receptor
  hsa:140 ADORA3; adenosine A3 receptor
  hsa:1268 CNR1; cannabinoid receptor 1
  hsa:119772 OR52M1; olfactory receptor family 52 subfamily M member 1
  hsa:127069 OR2T10; olfactory receptor family 2 subfamily T member 10
  hsa:154 ADRB2; adrenoceptor beta 2
  hsa:1812 DRD1; dopamine receptor D1
  hsa:1813 DRD2; dopamine receptor D2
  hsa:1524 CX3CR1; C-X3-C motif chemokine receptor 1
  hsa:1814 DRD3; dopamine receptor D3
  hsa:186 AGTR2; angiotensin II receptor type 2
  hsa:23266 ADGRL2; adhesion G protein-coupled receptor L2
  hsa:26188 OR1C1; olfactory receptor family 1 subfamily C member 1
  hsa:26245 OR2M4; olfactory receptor family 2 subfamily M member 4
  hsa:2861 GPR37; G protein-coupled receptor 37
  hsa:2911 GRM1; glutamate metabotropic receptor 1
  hsa:2915 GRM5; glutamate metabotropic receptor 5
  hsa:2917 GRM7; glutamate metabotropic receptor 7
  hsa:3351 HTR1B; 5-hydroxytryptamine receptor 1B
  hsa:343172 OR2T8; olfactory receptor family 2 subfamily T member 8
  hsa:5021 OXTR; oxytocin receptor
  hsa:54329 GPR85; G protein-coupled receptor 85
  hsa:552 AVPR1A; arginine vasopressin receptor 1A
  hsa:553 AVPR1B; arginine vasopressin receptor 1B
  hsa:6608 SMO; smoothened, frizzled class receptor
  hsa:8484 GALR3; galanin receptor 3
  hsa:9289 ADGRG1; adhesion G protein-coupled receptor G1
  hsa:94233 OPN4; opsin 4
  hsa:9568 GABBR2; gamma-aminobutyric acid type B receptor subunit 2

hsa03009 Ribosome biogenesis (26)

  hsa:10199 MPHOSPH10; M-phase phosphoprotein 10
  hsa:10436 EMG1; EMG1 N1-specific pseudouridine methyltransferase
  hsa:10527 IPO7; importin 7
  hsa:10482 NXF1; nuclear RNA export factor 1
  hsa:11103 KRR1; KRR1 small subunit processome component homolog
  hsa:1457 CSNK2A1; casein kinase 2 alpha 1
  hsa:1460 CSNK2B; casein kinase 2 beta
  hsa:1736 DKC1; dyskerin pseudouridine synthase 1
  hsa:166378 
  hsa:23378 RRP8; ribosomal RNA processing 8
  hsa:29081 METTL5; methyltransferase 5, N6-adenosine
  hsa:3508 IGHMBP2; immunoglobulin mu DNA binding protein 2
  hsa:51761 ATP8A2; ATPase phospholipid transporting 8A2
  hsa:51119 SBDS; SBDS ribosome maturation factor
  hsa:54881 TEX10; testis expressed 10
  hsa:55813 UTP6; UTP6 small subunit processome component
  hsa:55131 RBM28; RNA binding motif protein 28
  hsa:65083 NOL6; nucleolar protein 6
  hsa:6949 TCOF1; treacle ribosome biogenesis factor 1
  hsa:7514 XPO1; exportin 1
  hsa:79631 EFL1; elongation factor like GTPase 1
  hsa:81887 LAS1L; LAS1 like ribosome biogenesis factor
  hsa:84295 PHF6; PHD finger protein 6
  hsa:9147 NEMF; nuclear export mediator factor
  hsa:9775 EIF4A3; eukaryotic translation initiation factor 4A3
  hsa:9326 ZNHIT3; zinc finger HIT-type containing 3

hsa01007 Amino acid related enzymes (25)

  hsa:10352 WARS2; tryptophanyl tRNA synthetase 2, mitochondrial
  hsa:10667 FARS2; phenylalanyl-tRNA synthetase 2, mitochondrial
  hsa:124454 EARS2; glutamyl-tRNA synthetase 2, mitochondrial
  hsa:1615 DARS1; aspartyl-tRNA synthetase 1
  hsa:16 AARS1; alanyl-tRNA synthetase 1
  hsa:18 ABAT; 4-aminobutyrate aminotransferase
  hsa:2058 EPRS1; glutamyl-prolyl-tRNA synthetase 1
  hsa:23395 LARS2; leucyl-tRNA synthetase 2, mitochondrial
  hsa:25973 PARS2; prolyl-tRNA synthetase 2, mitochondrial
  hsa:2806 GOT2; glutamic-oxaloacetic transaminase 2
  hsa:3376 IARS1; isoleucyl-tRNA synthetase 1
  hsa:3735 KARS1; lysyl-tRNA synthetase 1
  hsa:3035 HARS1; histidyl-tRNA synthetase 1
  hsa:4677 NARS1; asparaginyl-tRNA synthetase 1
  hsa:55157 DARS2; aspartyl-tRNA synthetase 2, mitochondrial
  hsa:57038 RARS2; arginyl-tRNA synthetase 2, mitochondrial
  hsa:57176 VARS2; valyl-tRNA synthetase 2, mitochondrial
  hsa:5859 QARS1; glutaminyl-tRNA synthetase 1
  hsa:5917 RARS1; arginyl-tRNA synthetase 1
  hsa:6898 TAT; tyrosine aminotransferase
  hsa:79587 CARS2; cysteinyl-tRNA synthetase 2, mitochondrial
  hsa:7407 VARS1; valyl-tRNA synthetase 1
  hsa:79731 NARS2; asparaginyl-tRNA synthetase 2, mitochondrial
  hsa:833 CARS1; cysteinyl-tRNA synthetase 1
  hsa:84706 GPT2; glutamic--pyruvic transaminase 2

hsa00536 Glycosaminoglycan binding proteins (23)

  hsa:1277 COL1A1; collagen type I alpha 1 chain
  hsa:1278 COL1A2; collagen type I alpha 2 chain
  hsa:1281 COL3A1; collagen type III alpha 1 chain
  hsa:1284 COL4A2; collagen type IV alpha 2 chain
  hsa:1282 COL4A1; collagen type IV alpha 1 chain
  hsa:1301 COL11A1; collagen type XI alpha 1 chain
  hsa:2257 FGF12; fibroblast growth factor 12
  hsa:2258 FGF13; fibroblast growth factor 13
  hsa:2259 FGF14; fibroblast growth factor 14
  hsa:2260 
  hsa:2263 FGFR2; fibroblast growth factor receptor 2
